No,Family,Genus,Species,Botanical_Name,Botanical_NoAuthor,Thai_Name,YCount,Y2023,Y2025,AiTaxonomy,Source,Specificity,WoodDensity_Forest,WoodDensity_Plantation,WD_Class,WD_ForestInRange
22,Anacardiaceae,Spondias,bipinnata,Spondias bipinnata Airy Shaw & Forman,Spondias bipinnata,มะกัก,1,0,1,FALSE,Global,Genus,363,,3,
23,Anacardiaceae,Spondias,dulcis,Spondias dulcis Parkinson,Spondias dulcis,มะกอกฝรั่ง,2,1,1,FALSE,Global,Species,370,,3,
24,Anacardiaceae,Spondias,pinnata,Spondias pinnata (L.f.) Kurz,Spondias pinnata,มะกอกป่า,2,1,1,FALSE,Global,Species,294,,3,
25,Anacardiaceae,Toxicodendron,succedaneum,Toxicodendron succedaneum (L.) Kuntze,Toxicodendron succedaneum,มะเหลี่ยมหิน,1,1,0,FALSE,Global,Family,558,,3,
26,Anacardiaceae,Unknow,Unknown,Unknown-genus-Anacardiaceae-MaeHongSon,Unknown-genus-Anacardiaceae-MaeHongSon,,1,0,1,FALSE,Global,Family,558,,3,
27,Annonaceae,Annona,squamosa,Annona squamosa L.,Annona squamosa,น้อยหน่า,1,0,1,FALSE,Global,Species,618,,3,
28,Annonaceae,Cananga,latifolia,Cananga latifolia Finet & Gagnep.,Cananga latifolia,สะแกแสง,2,1,1,FALSE,กรมป่าไม้(2548),Species,530,,3,
29,Annonaceae,Cananga,odorata,Cananga odorata (Lam.) Hook.f. & Thomson,Cananga odorata,กระดังงาไทย,2,1,1,FALSE,กรมป่าไม้(2548),Genus,530,,3,
30,Annonaceae,Dasymachalon,Unknown,Dasymachalon sp.Trat1,Dasymachalon sp.Trat1,,1,0,1,FALSE,Global,Family,564,,3,
31,Annonaceae,Dracontomelon,dao,Dracontomelon dao (Blanco) Merr. & Rolfe,Dracontomelon dao,พระเจ้าห้าพระองค์,1,0,1,FALSE,Global,Species,400,,3,
32,Annonaceae,Huberantha,cerasoides,Huberantha cerasoides (Roxb.) Chaowasku,Huberantha cerasoides,กะเจียน,2,1,1,FALSE,Global,Family,564,,3,
33,Annonaceae,Miliusa,velutina,Miliusa velutina (DC.) Hook.f. & Thomson,Miliusa velutina,ขางหัวหมู,2,1,1,FALSE,กรมป่าไม้(2548),Species,540,,3,
34,Annonaceae,Mitrephora,winitii,Mitrephora winitii Craib,Mitrephora winitii,มหาพรหม,1,1,0,FALSE,Global,Genus,680,,2,
35,Annonaceae,Monoon,longifolium,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,Monoon longifolium,อโศกอินเดีย,2,1,1,TRUE,Adediji & Wilson (2024),Species,504.23,,3,
36,Annonaceae,Monoon,viride,Monoon viride (Craib) B.Xue & R.M.K.Saunders,Monoon viride,ยางโอน,2,1,1,FALSE,Global,Family,564,,3,
37,Annonaceae,Orophea,polycarpa,Orophea polycarpa A.DC.,Orophea polycarpa,จักหัน,1,0,1,FALSE,Global,Family,564,,3,
38,Annonaceae,Polyalthia,suberosa,Polyalthia suberosa (Roxb.) Thwaites,Polyalthia suberosa,กลึงกล่อม,1,0,1,FALSE,Global,Species,680,,2,
39,Annonaceae,Sphaerocoryne,lefevrei,Sphaerocoryne lefevrei (Baill.) D.M.Johnson & N.A.Murray,Sphaerocoryne lefevrei,ลำดวน,2,1,1,TRUE,Global,Family,564,,3,
40,Annonaceae,Xylopia,pierrei,Xylopia pierrei Hance,Xylopia pierrei,สะทางเล็ก,1,0,1,FALSE,Global,Genus,594,,3,
41,Annonaceae,Xylopia,vielana,Xylopia vielana Pierre,Xylopia vielana,กล้วยน้อย,1,0,1,FALSE,Global,Genus,594,,3,
42,Apocynaceae,Alstonia,macrophylla,Alstonia macrophylla Wall. ex G.Don,Alstonia macrophylla,ทุ้งฟ้า,2,1,1,FALSE,กรมป่าไม้(2548),Species,520,,3,
43,Apocynaceae,Alstonia,scholaris,Alstonia scholaris (L.) R.Br.,Alstonia scholaris,สัตตบรรณ,2,1,1,TRUE,กรมป่าไม้(2548),Species,400,,3,
44,Apocynaceae,Alstonia,spatulata,Alstonia spatulata Blume,Alstonia spatulata,เทียะ,1,0,1,FALSE,Global,Species,340,,3,
45,Apocynaceae,Cascabela,thevetia,Cascabela thevetia (L.) Lippold,Cascabela thevetia,รำเพย,2,1,1,FALSE,Global,Family,567,,3,
46,Apocynaceae,Cerbera,manghas,Cerbera manghas L.,Cerbera manghas,ตีนเป็ดทราย,2,1,1,FALSE,Global,Species,380,,3,
47,Apocynaceae,Cerbera,odollam,Cerbera odollam Gaertn.,Cerbera odollam,ตีนเป็ดทะเล,2,1,1,TRUE,Global,Species,300,,3,
48,Apocynaceae,Holarrhena,pubescens,Holarrhena pubescens Wall. ex G.Don,Holarrhena pubescens,โมกใหญ่,2,1,1,FALSE,Global,Species,732,,2,
49,Apocynaceae,Kopsia,arborea,Kopsia arborea Blume,Kopsia arborea,พุดดง,2,1,1,FALSE,Global,Family,567,,3,
50,Apocynaceae,Nerium,oleander,Nerium oleander L.,Nerium oleander,ยี่โถ,2,1,1,FALSE,Global,Species,600,,3,
51,Apocynaceae,Plumeria,obtusa,Plumeria obtusa L.,Plumeria obtusa,ลั่นทมขาว,2,1,1,FALSE,กรมป่าไม้(2548),Genus,930,,2,
52,Apocynaceae,Plumeria,rubra,Plumeria rubra L.,Plumeria rubra,ลั่นทมแดง,2,1,1,FALSE,กรมป่าไม้(2548),Genus,930,,2,
53,Apocynaceae,Tabernaemontana,divaricata,Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.,Tabernaemontana divaricata,พุดจีบ,2,1,1,FALSE,Global,Species,750,,2,
54,Apocynaceae,Wrightia,arborea,Wrightia arborea (Dennst.) Mabb.,Wrightia arborea,โมกมัน,2,1,1,TRUE,กรมป่าไม้(2548),Genus,620,,3,
55,Apocynaceae,Wrightia,religiosa,Wrightia religiosa (Teijsm. & Binn.) Benth. ex Kurz,Wrightia religiosa,โมกบ้าน,2,1,1,FALSE,กรมป่าไม้(2548),Genus,620,,3,
56,Aquifoliaceae,Ilex,cymosa,Ilex cymosa Blume,Ilex cymosa,ไทรขี้ใต้,1,0,1,FALSE,Global,Species,488,,3,
57,Arecaceae,Cocos,nucifera,Cocos nucifera L.,Cocos nucifera,มะพร้าว,1,1,0,FALSE,IPCC(2006),Species,500,,3,
58,Bignoniaceae,Crescentia,cujete,Crescentia cujete L.,Crescentia cujete,น้ำเต้าต้น,2,1,1,FALSE,Global,Species,634,,3,
59,Bignoniaceae,Dolichandrone,serrulata,Dolichandrone serrulata (Wall. ex DC.) Seem.,Dolichandrone serrulata,แคนา,2,1,1,TRUE,Global,Species,441,,3,
60,Bignoniaceae,Dolichandrone,spathacea,Dolichandrone spathacea (L.f.) K.Schum.,Dolichandrone spathacea,แคทะเล,1,1,0,FALSE,Global,Species,430,,3,
61,Bignoniaceae,Fernandoa,adenophylla,Fernandoa adenophylla (Wall. ex G.Don) Steenis,Fernandoa adenophylla,แคบิด,2,1,1,FALSE,Global,Species,490,,3,
62,Bignoniaceae,Handroanthus,chrysanthus,Handroanthus chrysanthus (Jacq.) S.O.Grose,Handroanthus chrysanthus,เหลืองอินเดีย,2,1,1,FALSE,Global,Family,619,,3,
63,Bignoniaceae,Handroanthus,chrysotrichus,Handroanthus chrysotrichus (Mart. ex DC.) Mattos,Handroanthus chrysotrichus,เหลืองเชียงราย,2,1,1,FALSE,Global,Family,619,,3,
64,Bignoniaceae,Heterophragma,sulfureum,Heterophragma sulfureum Kurz,Heterophragma sulfureum,แครกฟ้า,2,1,1,FALSE,Global,Species,579,,3,
65,Bignoniaceae,Jacaranda,obtusifolia,Jacaranda obtusifolia Bonpl.,Jacaranda obtusifolia,ศรีตรัง,2,1,1,FALSE,Global,Species,480,,3,
66,Bignoniaceae,Markhamia,stipulata,Markhamia stipulata (Wall.) Seem.,Markhamia stipulata,แคหางค่าง,2,1,1,FALSE,Global,Species,676,,2,
67,Bignoniaceae,Mayodendron,igneum,Mayodendron igneum (Kurz) Kurz,Mayodendron igneum,ปีบทอง,2,1,1,FALSE,Global,Family,619,,3,
68,Bignoniaceae,Millingtonia,hortensis,Millingtonia hortensis L.f.,Millingtonia hortensis,ปีบ,2,1,1,TRUE,กรมป่าไม้(2548),Species,640,,3,
69,Bignoniaceae,Oroxylum,indicum,Oroxylum indicum (L.) Kurz,Oroxylum indicum,เพกา,2,1,1,FALSE,Global,Species,411,,3,
70,Bignoniaceae,Radermachera,yunnanensis,Radermachera yunnanensis C.Y.Wu & W.C.Yin,Radermachera yunnanensis,ปีบยูนนาน,1,0,1,FALSE,Global,Genus,483,,3,
71,Bignoniaceae,Spathodea,campanulata,Spathodea campanulata P.Beauv.,Spathodea campanulata,แคแสด,2,1,1,FALSE,IPCC(2006),Species,250,,3,
72,Bignoniaceae,Stereospermum,Unknown,Stereospermum sp.Trang1,Stereospermum sp.Trang1,,1,0,1,FALSE,กรมป่าไม้(2548),Genus,800,,2,
73,Bignoniaceae,Stereospermum,fimbriatum,Stereospermum fimbriatum (Wall. ex G.Don) DC.,Stereospermum fimbriatum,แคยอดดำ,2,1,1,FALSE,กรมป่าไม้(2548),Genus,800,,2,
74,Bignoniaceae,Stereospermum,neuranthum,Stereospermum neuranthum Kurz,Stereospermum neuranthum,แคทราย,2,1,1,FALSE,กรมป่าไม้(2548),Species,800,,2,
75,Bignoniaceae,Tabebuia,aurea,Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore,Tabebuia aurea,เหลืองปรีดียาธร,2,1,1,FALSE,Global,Species,760,,2,
76,Bignoniaceae,Tabebuia,rosea,Tabebuia rosea (Bertol.) DC.,Tabebuia rosea,ชมพูพันธุ์ทิพย์,2,1,1,TRUE,IPCC(2006),Species,540,,3,
77,Bignoniaceae,Tecoma,stans,Tecoma stans (L.) Juss. ex Kunth,Tecoma stans,ทองอุไร,1,0,1,FALSE,IPCC(2006),Species,466,,3,
78,Bignoniaceae,Unknow,Unknown,Unknown genus-Bignoniaceae-UthaiThani,Unknown genus-Bignoniaceae-UthaiThani,,1,0,1,FALSE,Global,Family,619,,3,
79,Boraginaceae,Cordia,cochinchinensis,Cordia cochinchinensis Gagnep.,Cordia cochinchinensis,หมัน,2,1,1,FALSE,IPCC(2006),Species,530,,3,
80,Boraginaceae,Cordia,dichotoma,Cordia dichotoma G.Forst.,Cordia dichotoma,หมันดง,2,1,1,FALSE,IPCC(2006),Species,530,,3,
81,Boraginaceae,Cordia,sebestena,Cordia sebestena L.,Cordia sebestena,คอร์เดีย,2,1,1,FALSE,IPCC(2006),Species,530,,3,
82,Boraginaceae,Cordia,subcordata,Cordia subcordata L.,Cordia subcordata,หมันทะเล,2,1,1,FALSE,IPCC(2006),Species,530,,3,
83,Boraginaceae,Ehretia,Unknown,Ehretia sp.Ratchaburi1,Ehretia sp.Ratchaburi1,,1,0,1,FALSE,Global,Genus,506,,3,
84,Boraginaceae,Ehretia,timorensis,Ehretia timorensis Decne.,Ehretia timorensis,ก่ายกอม,1,1,0,FALSE,Global,Genus,506,,3,
85,Burseraceae,Canarium,subulatum,Canarium subulatum Guillaumin,Canarium subulatum,มะกอกเกลื้อน,2,1,1,FALSE,กรมป่าไม้(2548),Genus,510,,3,
86,Burseraceae,Garuga,pinnata,Garuga pinnata Roxb.,Garuga pinnata,ตะคร้ำ,2,1,1,FALSE,กรมป่าไม้(2548),Genus,810,,2,
87,Burseraceae,Protium,serratum,Protium serratum (Wall. ex Colebr.) Engl.,Protium serratum,มะแฟน,2,1,1,FALSE,กรมป่าไม้(2548),Species,820,,2,
88,Calophyllaceae,Calophyllum,calaba,Calophyllum calaba L.,Calophyllum calaba,ตังหน,1,0,1,FALSE,Global,Species,591,,3,
89,Calophyllaceae,Calophyllum,inophyllum,Calophyllum inophyllum L.,Calophyllum inophyllum,กระทิง,2,1,1,TRUE,กรมป่าไม้(2548),Genus,690,,2,
90,Calophyllaceae,Mammea,siamensis,Mammea siamensis (Miq.) T.Anderson,Mammea siamensis,สารภี,2,1,1,TRUE,Global,Species,682,,2,
91,Calophyllaceae,Mesua,ferrea,Mesua ferrea L.,Mesua ferrea,บุนนาค,2,1,1,FALSE,กรมป่าไม้(2548),Genus,1120,,1,
92,Cannabaceae,Trema,orientale,Trema orientale (L.) Blume,Trema orientale,พังแหรใหญ่,2,1,1,FALSE,IPCC(2006),Species,310,,3,
93,Capparaceae,Capparis,micracantha,Capparis micracantha DC.,Capparis micracantha,ชิงชี่,2,1,1,FALSE,Global,Genus,691,,2,
94,Capparaceae,Crateva,adansonii,Crateva adansonii DC.,Crateva adansonii,กุ่มบก,2,1,1,FALSE,Global,Genus,467,,3,
95,Capparaceae,Crateva,magna,Crateva magna (Lour.) DC.,Crateva magna,กุ่มน้ำ,2,1,1,FALSE,Global,Genus,467,,3,
96,Capparaceae,Maerua,siamensis,Maerua siamensis (Kurz) Pax,Maerua siamensis,แจง,2,1,1,FALSE,Sulieman et al. (2020),Maerua crassifolia,530,,3,
97,Casuarinaceae,Casuarina,equisetifolia,Casuarina equisetifolia L.,Casuarina equisetifolia,สนทะเล,2,1,1,TRUE,IPCC(2006),Species,810,,2,
98,Celastraceae,Elaeodendron,glaucum,Elaeodendron glaucum (Rottb.) Pers.,Elaeodendron glaucum,มักน้ำนองต้น,2,1,1,FALSE,Global,Species,750,,2,
99,Celastraceae,Lophopetalum,duperreanum,Lophopetalum duperreanum  Pierre,Lophopetalum duperreanum,สองสลึง,1,0,1,FALSE,Global,Genus,516,,3,
100,Celastraceae,Pleurostylia,opposita,Pleurostylia opposita (Wall.) Alston,Pleurostylia opposita,แดงหิน,1,0,1,FALSE,Global,Species,660,,2,
101,Celastraceae,Siphonodon,celastrineus,Siphonodon celastrineus Griff.,Siphonodon celastrineus,มะดูก,1,1,0,FALSE,Global,Species,619,,3,
102,Chrysobalanaceae,Maranthes,corymbosa,Maranthes corymbosa Blume,Maranthes corymbosa,ชีขาดเพล,1,1,0,FALSE,Global,Species,798,,2,
103,Chrysobalanaceae,Parinari,anamensis,Parinari anamensis Hance,Parinari anamensis,มะพอก,2,1,1,FALSE,กรมป่าไม้(2548),,720,,2,
104,Clusiaceae,Garcinia,celebica,Garcinia celebica L.,Garcinia celebica,พะวา,2,1,1,FALSE,กรมป่าไม้(2548),,830,,2,
105,Clusiaceae,Garcinia,cowa,Garcinia cowa Roxb. ex Choisy,Garcinia cowa,ชะมวง,2,1,1,FALSE,กรมป่าไม้(2548),Genus,753.33,,2,
106,Clusiaceae,Garcinia,mangostana,Garcinia mangostana L.,Garcinia mangostana,มังคุด,1,0,1,FALSE,Global,Species,810,,2,
107,Clusiaceae,Garcinia,merguensis,Garcinia merguensis Wight,Garcinia merguensis,นวล,1,0,1,FALSE,Global,Species,780,,2,
108,Clusiaceae,Garcinia,schomburgkiana,Garcinia schomburgkiana Pierre,Garcinia schomburgkiana,มะดัน,2,1,1,FALSE,กรมป่าไม้(2548),Genus,753.33,,2,
109,Cochlospermaceae,Cochlospermum,religiosum,Cochlospermum religiosum (L.) Alston,Cochlospermum religiosum,สุพรรณิการ์,2,1,1,FALSE,Global,Species,234,,3,
110,Combretaceae,Combretum,quadrangulare,Combretum quadrangulare Kurz,Combretum quadrangulare,สะแกนา,2,1,1,FALSE,Global,Genus,791,,2,
111,Combretaceae,Lumnitzera,racemosa,Lumnitzera racemosa Willd.,Lumnitzera racemosa,ฝาดขาว,2,1,1,FALSE,Global,Species,710,,2,
112,Combretaceae,Terminalia,bellirica,Terminalia bellirica (Gaertn.) Roxb.,Terminalia bellirica,สมอพิเภก,2,1,1,TRUE,กรมป่าไม้(2548),Species,740,,2,
113,Combretaceae,Terminalia,calamansanai,Terminalia calamansanai (Blanco) Rolfe,Terminalia calamansanai,สกุณี,2,1,1,FALSE,กรมป่าไม้(2548),Genus,943.33,,2,
114,Combretaceae,Terminalia,catappa,Terminalia catappa L.,Terminalia catappa,หูกวาง,2,1,1,TRUE,กรมป่าไม้(2548),Genus,943.33,,2,
115,Combretaceae,Terminalia,chebula,Terminalia chebula Retz.,Terminalia chebula,สมอไทย,2,1,1,FALSE,กรมป่าไม้(2548),Species,880,,2,
116,Combretaceae,Terminalia,elliptica,Terminalia elliptica Willd.,Terminalia elliptica,รกฟ้า,2,1,1,FALSE,กรมป่าไม้(2548),Genus,943.33,,2,
117,Combretaceae,Terminalia,glaucifolia,Terminalia glaucifolia Craib,Terminalia glaucifolia,แหนนา,2,1,1,FALSE,กรมป่าไม้(2548),Genus,943.33,,2,
118,Combretaceae,Terminalia,ivorensis,Terminalia ivorensis A.Chev.,Terminalia ivorensis,หูกระจง,2,1,1,TRUE,กรมป่าไม้(2548),Genus,943.33,,2,
119,Combretaceae,Terminalia,mucronata,Terminalia mucronata Craib & Hutch.,Terminalia mucronata,ตะแบกเลือด,2,1,1,FALSE,กรมป่าไม้(2548),Species,1250,,1,
120,Combretaceae,Terminalia,pierrei,Terminalia pierrei Gagnep.,Terminalia pierrei,ตะแบกกราย,1,0,1,FALSE,กรมป่าไม้(2548),Genus,943.33,,2,
121,Combretaceae,Terminalia,triptera,Terminalia triptera Stapf,Terminalia triptera,ขี้อ้าย,2,1,1,FALSE,กรมป่าไม้(2548),Genus,943.33,,2,
122,Connaraceae,Ellipanthus,tomentosus,Ellipanthus tomentosus Kurz,Ellipanthus tomentosus,คำรอก,2,1,1,FALSE,Global,Family,500,,3,
123,Cornaceae,Alangium,indochinense,Alangium indochinense W.J.de Wilde & Duyfjes,Alangium indochinense,ปรู๋,2,1,1,FALSE,Global,Genus,617,,3,
124,Cornaceae,Alangium,kurzii,Alangium kurzii Craib,Alangium kurzii,ผีเสื้อ,1,0,1,FALSE,Global,Species,420,,3,
125,Cornaceae,Alangium,kurzii,Alangium kurzii Craib,Alangium kurzii,ฝาละมี,1,1,0,FALSE,Global,Species,420,,3,
126,Crypteroniaceae,Crypteronia,paniculata,Crypteronia paniculata Blume,Crypteronia paniculata,กะอาม,2,1,1,FALSE,กรมป่าไม้(2548),Genus,1000,,1,
127,Cupressaceae,Chamaecyparis,obtusa,Chamaecyparis obtusa (Siebold & Zucc.) Endl.,Chamaecyparis obtusa,สนแผง,1,0,1,FALSE,Global,Species,490,,3,
128,Dilleniaceae,Dillenia,indica,Dillenia indica L.,Dillenia indica,มะตาด,2,1,1,FALSE,IPCC(2006),Species,590,,3,
129,Dilleniaceae,Dillenia,obovata,Dillenia obovata (Blume) Hoogland,Dillenia obovata,ส้านใหญ่,2,1,1,FALSE,IPCC(2006),Species,590,,3,
130,Dilleniaceae,Dillenia,ovata,Dillenia ovata Wall. ex Hook.f. & Thomson,Dillenia ovata,ส้านใบเล็ก,2,1,1,FALSE,IPCC(2006),Species,590,,3,
131,Dilleniaceae,Dillenia,parviflora,Dillenia parviflora Griff.,Dillenia parviflora,ส้านหิ่ง,2,1,1,FALSE,IPCC(2006),Species,590,,3,
132,Dilleniaceae,Dillenia,suffruticosa,Dillenia suffruticosa (Griff.) Martelli,Dillenia suffruticosa,ส้านชะวา,1,0,1,FALSE,Global,Species,450,,3,
133,Dipterocarpaceae,Anisoptera,costata,Anisoptera costata Korth.,Anisoptera costata,กระบาก,2,1,1,FALSE,กรมป่าไม้(2548),Species,600,,3,
134,Dipterocarpaceae,Anthoshorea,roxburghii,Anthoshorea roxburghii (G.Don) P.S.Ashton & J.Heck.,Anthoshorea roxburghii,พะยอม,2,1,1,TRUE,กรมป่าไม้(2548),Species,840,,2,
135,Dipterocarpaceae,Cotylelobium,lanceolatum,Cotylelobium lanceolatum Craib,Cotylelobium lanceolatum,เคี่ยม,1,0,1,FALSE,Global,Species,780,,2,
136,Dipterocarpaceae,Dipterocarpus,Unknown,Dipterocarpus sp.,Dipterocarpus sp.,,1,1,0,FALSE,กรมป่าไม้(2548),Species,700,,2,
137,Dipterocarpaceae,Dipterocarpus,alatus,Dipterocarpus alatus Roxb. ex G.Don,Dipterocarpus alatus,ยางนา,2,1,1,TRUE,กรมป่าไม้(2548),Genus,832.5,,2,
138,Dipterocarpaceae,Dipterocarpus,intricatus,Dipterocarpus intricatus Dyer,Dipterocarpus intricatus,ยางกราด,1,0,1,FALSE,Global,Species,684,,2,
139,Dipterocarpaceae,Dipterocarpus,kerrii,Dipterocarpus kerrii King,Dipterocarpus kerrii,ยางมันหมู,1,1,0,FALSE,กรมป่าไม้(2548),Genus,832.5,,2,
140,Dipterocarpaceae,Dipterocarpus,obtusifolius,Dipterocarpus obtusifolius Teijsm. ex Miq.,Dipterocarpus obtusifolius,ยางเหียง,2,1,1,FALSE,กรมป่าไม้(2548),Species,900,,2,
141,Dipterocarpaceae,Dipterocarpus,tuberculatus,Dipterocarpus tuberculatus Roxb.,Dipterocarpus tuberculatus,ยางพลวง,2,1,1,FALSE,กรมป่าไม้(2548),Species,860,,2,
142,Dipterocarpaceae,Hopea,odorata,Hopea odorata Roxb.,Hopea odorata,ตะเคียนทอง,2,1,1,TRUE,กรมป่าไม้(2548),Species,800,,2,
143,Dipterocarpaceae,Pentacme,siamensis,Pentacme siamensis (Miq.) Kurz,Pentacme siamensis,รัง,2,1,1,TRUE,UW Kyis et al. (2002),Species,929,,2,
144,Dipterocarpaceae,Shorea,obtusa,Shorea obtusa Wall. ex Blume,Shorea obtusa,เต็ง,2,1,1,TRUE,กรมป่าไม้(2548),Species,1050,,1,
145,Dipterocarpaceae,Vatica,diospyroides,Vatica diospyroides Symington,Vatica diospyroides,จันทน์กะพ้อ,2,1,1,FALSE,กรมป่าไม้(2548),Genus,1060,,1,
146,Dipterocarpaceae,Vatica,harmandiana,Vatica harmandiana Pierre,Vatica harmandiana,สะเดาปัก,2,1,1,FALSE,กรมป่าไม้(2548),Genus,1060,,1,
147,Ebenaceae,Diospyros,Unknown,Diospyros sp.AmnatCharoen1,Diospyros sp.AmnatCharoen1,,1,0,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
148,Ebenaceae,Diospyros,Unknown,Diospyros sp.MahaSarakham1,Diospyros sp.MahaSarakham1,,1,0,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
149,Ebenaceae,Diospyros,Unknown,Diospyros sp.SaKaeo1,Diospyros sp.SaKaeo1,,1,0,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
150,Ebenaceae,Diospyros,Unknown,Diospyros sp.Trang 1,Diospyros sp.Trang 1,,1,0,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
151,Ebenaceae,Diospyros,Unknown,Diospyros sp.Trang2,Diospyros sp.Trang2,,1,0,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
152,Ebenaceae,Diospyros,Unknown,Diospyros sp.Trat1,Diospyros sp.Trat1,,1,0,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
153,Ebenaceae,Diospyros,buxifolia,Diospyros buxifolia (Blume) Hiern,Diospyros buxifolia,สั่งทำ,1,0,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
154,Ebenaceae,Diospyros,castanea,Diospyros castanea (Craib) H.R.Fletcher,Diospyros castanea,ตะโกพนม,2,1,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
155,Ebenaceae,Diospyros,coaetanea,Diospyros coaetanea H.R.Fletcher,Diospyros coaetanea,ลำตาควาย,1,1,0,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
156,Ebenaceae,Diospyros,curranii,Diospyros curranii Merr.,Diospyros curranii,นั่งจ้อย,2,1,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
157,Ebenaceae,Diospyros,decandra,Diospyros decandra Lour.,Diospyros decandra,อินจัน,2,1,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
158,Ebenaceae,Diospyros,ehretioides,Diospyros ehretioides Wall. ex G.Don,Diospyros ehretioides,ตับเต่าต้น,2,1,1,FALSE,กรมป่าไม้(2548),Genus,1036,,1,
